Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LandingLearningBrain,1.059,39.095,27.387,10276,492.865
LandingLearningBrain,0.631,77.725,26.810,10297,385.233
LandingLearningBrain,0.612,112.657,26.185,10244,333.895
LandingLearningBrain,0.598,150.870,26.138,10252,344.368
LandingLearningBrain,0.589,188.655,26.268,10296,367.110
LandingLearningBrain,0.572,224.956,26.214,10253,388.265
LandingLearningBrain,0.558,263.090,26.166,10301,402.821
LandingLearningBrain,0.559,299.783,26.077,10289,412.306
LandingLearningBrain,0.584,335.994,26.022,10251,422.551
LandingLearningBrain,0.608,371.924,26.166,10283,430.926
LandingLearningBrain,0.577,409.573,25.883,10251,437.225
LandingLearningBrain,0.583,447.057,26.067,10296,434.534
LandingLearningBrain,0.552,484.338,26.416,10292,422.708
LandingLearningBrain,0.571,521.732,26.393,10269,418.630
LandingLearningBrain,0.597,559.560,26.554,10299,427.025
LandingLearningBrain,0.548,595.661,27.205,10280,430.684
LandingLearningBrain,0.576,633.925,26.210,10250,424.284
LandingLearningBrain,0.588,670.920,26.658,10245,428.669
LandingLearningBrain,0.576,709.414,26.429,10284,430.403
LandingLearningBrain,0.562,747.194,26.059,10303,437.353
LandingLearningBrain,0.606,785.449,26.441,10248,443.313
LandingLearningBrain,0.589,822.815,27.052,10266,445.324
LandingLearningBrain,0.706,859.729,27.859,10272,451.151
LandingLearningBrain,0.577,897.633,27.934,10299,453.143
LandingLearningBrain,0.562,935.241,25.857,10244,459.810
LandingLearningBrain,0.659,972.416,27.700,10274,467.057
LandingLearningBrain,0.644,1010.215,26.731,10249,471.772
LandingLearningBrain,0.582,1048.239,26.352,10296,479.904
LandingLearningBrain,0.548,1086.266,27.615,10291,486.254
LandingLearningBrain,0.586,1124.239,27.084,10303,492.586
LandingLearningBrain,0.554,1161.898,26.563,10297,499.464
LandingLearningBrain,0.625,1200.003,26.478,10273,503.512
LandingLearningBrain,0.561,1238.216,26.435,10283,507.926
LandingLearningBrain,0.661,1276.708,28.475,10257,514.305
LandingLearningBrain,0.735,1314.564,27.434,10260,521.355
LandingLearningBrain,0.598,1352.864,26.467,10281,523.204
LandingLearningBrain,0.599,1391.127,27.971,10249,530.305
LandingLearningBrain,0.585,1429.052,27.018,10296,537.267
LandingLearningBrain,0.607,1467.746,26.950,10251,543.505
LandingLearningBrain,0.609,1505.671,27.585,10276,549.465
LandingLearningBrain,0.597,1543.831,26.514,10261,553.283
LandingLearningBrain,0.571,1582.228,27.451,10292,555.063
